Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2010,1,2,3,4,32575,33244,"Los Angeles, CA (Metropolitan Area)","Memphis, TN",246.9,253.45,262.26,249.62
2003,1,2,3,4,31995,31703,"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",173.35,165.83,162.46,155.77
2000,1,2,3,4,31454,30852,"Orlando, FL","Washington, DC (Metropolitan Area)",126.87,123.88,112.06,123.98
2009,1,2,3,4,31986,31703,"Grand Rapids, MI","New York City, NY (Metropolitan Area)",238.43,215.85,219.67,234.6
2001,1,2,3,4,30721,31066,"Boston, MA (Metropolitan Area)","Columbus, OH",259.18,193.11,166.06,163.45
2009,1,2,3,4,32467,33570,"Miami, FL (Metropolitan Area)","San Diego, CA",224.13,219.73,208.47,224.26
2001,1,2,3,4,31066,32575,"Columbus, OH","Los Angeles, CA (Metropolitan Area)",185.89,172.43,157.33,148.68
1997,1,2,3,4,30397,31267,"Atlanta, GA (Metropolitan Area)","Dayton, OH",188.59,184.94,184.6,194.53
1997,1,2,3,4,32457,34689,"San Francisco, CA (Metropolitan Area)","Santa Barbara, CA",108.87,96.19,94.82,94.57
2004,1,2,3,4,31057,31650,"Charlotte, NC","Minneapolis/St. Paul, MN",256.06,210.79,216.52,212.82
2002,1,2,3,4,30977,32575,"Chicago, IL","Los Angeles, CA (Metropolitan Area)",225.2,192.27,164.89,171.1
2007,1,2,3,4,30713,32575,"Boise, ID","Los Angeles, CA (Metropolitan Area)",157.25,149.51,151.5,161.36
2003,1,2,3,4,33316,32457,"Omaha, NE","San Francisco, CA (Metropolitan Area)",181.93,164.46,167.82,176.77
2010,1,2,3,4,30977,34986,"Chicago, IL","Sarasota/Bradenton, FL",146.08,145.97,132.4,150.44
2009,1,2,3,4,30397,34576,"Atlanta, GA (Metropolitan Area)","Rochester, NY",129.35,125.26,124.9,139.44
2012,1,2,3,4,30194,31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",243.83,262.62,258.61,232.24
1997,1,2,3,4,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",196.54,172.54,168.85,185.44
2010,1,2,3,4,33044,33195,"Louisville, KY","Tampa, FL (Metropolitan Area)",155.76,165.97,150.98,166.72
2012,1,2,3,4,32448,30852,"Jackson/Vicksburg, MS","Washington, DC (Metropolitan Area)",244.59,219.8,199.62,190.22
2008,1,2,3,4,30529,32467,"Hartford, CT","Miami, FL (Metropolitan Area)",209.57,183.34,194.48,202.33
2014,1,2,3,4,30792,30466,"Buffalo, NY","Phoenix, AZ",245.78,248.11,252.02,256.82
2006,1,2,3,4,31057,31650,"Charlotte, NC","Minneapolis/St. Paul, MN",218.43,218.5,209.8,192.51
2005,1,2,3,4,33851,32457,"Oklahoma City, OK","San Francisco, CA (Metropolitan Area)",195.11,195.71,198.87,192.26
1999,1,2,3,4,30397,33342,"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",240.44,230.29,213.19,202.53
2008,1,2,3,4,30466,34653,"Phoenix, AZ","Tulsa, OK",171.13,170.1,190.06,194.17
2013,1,2,3,4,32575,30436,"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",133.08,133.95,146.9,150.58
2008,1,2,3,4,32600,30852,"Little Rock, AR","Washington, DC (Metropolitan Area)",210.9,217.58,222.66,210.8
2010,1,2,3,4,30397,31714,"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",172.12,158.23,134.02,141.12
2005,1,2,3,4,30423,31295,"Austin, TX","Detroit, MI",219.55,215.61,195.92,208.6
2004,1,2,3,4,30140,32211,"Albuquerque, NM","Las Vegas, NV",123.37,121.46,119.83,124.01
2014,1,2,3,4,31423,32575,"Des Moines, IA","Los Angeles, CA (Metropolitan Area)",246.3,246.81,236.21,262.05
2001,1,2,3,4,30325,31454,"Denver, CO","Orlando, FL",226.07,216.51,197.7,192.76
2004,1,2,3,4,33495,30852,"New Orleans, LA","Washington, DC (Metropolitan Area)",181.83,187.25,160.99,163.01
2000,1,2,3,4,30647,31714,"Cleveland, OH (Metropolitan Area)","Fort Myers, FL",173.33,163.35,144.01,167.77
1996,1,2,3,4,31267,31703,"Dayton, OH","New York City, NY (Metropolitan Area)",186.98,181.71,190.09,204.29
2005,1,2,3,4,34492,33570,"Raleigh/Durham, NC","San Diego, CA",204.29,204.05,202.74,192.91
1998,1,2,3,4,30397,30693,"Atlanta, GA (Metropolitan Area)","Nashville, TN",267.22,263.44,258.76,250.77
1997,1,2,3,4,31453,33851,"Houston, TX","Oklahoma City, OK",96.88,104.18,103.91,104.81
1997,1,2,3,4,30397,34524,"Atlanta, GA (Metropolitan Area)","Richmond, VA",236.31,229.75,230.52,234.97
1998,1,2,3,4,32211,33214,"Las Vegas, NV","San Antonio, TX",111.77,113.86,118.3,121.01
2002,1,2,3,4,31703,30198,"New York City, NY (Metropolitan Area)","Pittsburgh, PA",185.99,193.38,195.95,179.26
1999,1,2,3,4,31650,30693,"Minneapolis/St. Paul, MN","Nashville, TN",257.25,255.31,234.6,231.78
2006,1,2,3,4,30397,30685,"Atlanta, GA (Metropolitan Area)","Bloomington/Normal, IL",138.78,140.05,132.47,119.55
2001,1,2,3,4,31603,32457,"Eugene, OR","San Francisco, CA (Metropolitan Area)",153.87,136.74,139.04,146.99
1998,1,2,3,4,34614,30852,"Salt Lake City, UT","Washington, DC (Metropolitan Area)",218.59,220.52,226.5,220.9
2004,1,2,3,4,30194,33044,"Dallas/Fort Worth, TX","Louisville, KY",265.88,250.04,245.96,211.22
2014,1,2,3,4,33105,31650,"Cincinnati, OH","Minneapolis/St. Paul, MN",372.49,373.71,390.08,360.7
2004,1,2,3,4,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",143.8,132.38,117.03,118.09
2007,1,2,3,4,30529,32457,"Hartford, CT","San Francisco, CA (Metropolitan Area)",246.76,263.5,263.83,254.13
2006,1,2,3,4,30194,34100,"Dallas/Fort Worth, TX","Philadelphia, PA",258.62,281.33,282.79,202.14
2011,1,2,3,4,31714,31123,"Fort Myers, FL","St. Louis, MO",179.48,182.48,172.21,204.38
2005,1,2,3,4,31453,33851,"Houston, TX","Oklahoma City, OK",120.04,123.53,125.16,128.19
2006,1,2,3,4,30647,30693,"Cleveland, OH (Metropolitan Area)","Nashville, TN",99.2,101.38,97.62,97.39
2000,1,2,3,4,34057,30852,"Portland, OR","Washington, DC (Metropolitan Area)",284.49,262.13,263.65,260.92
1997,1,2,3,4,31714,30529,"Fort Myers, FL","Hartford, CT",124.58,127.66,124.61,143.56
2011,1,2,3,4,32600,30852,"Little Rock, AR","Washington, DC (Metropolitan Area)",219.98,228.93,217.29,213.69
2010,1,2,3,4,32211,30852,"Las Vegas, NV","Washington, DC (Metropolitan Area)",232.14,245.0,236.06,234.6
2006,1,2,3,4,30325,34100,"Denver, CO","Philadelphia, PA",191.06,219.79,224.72,204.23
2011,1,2,3,4,30158,32467,"Atlantic City, NJ","Miami, FL (Metropolitan Area)",111.32,114.63,100.32,111.59
2011,1,2,3,4,30977,33198,"Chicago, IL","Kansas City, MO",146.13,169.98,167.02,163.32
2007,1,2,3,4,32211,34783,"Las Vegas, NV","Springfield, MO",137.97,148.0,142.01,140.82
2004,1,2,3,4,32211,30466,"Las Vegas, NV","Phoenix, AZ",85.68,88.81,89.1,90.4
2003,1,2,3,4,30466,33192,"Phoenix, AZ","Sacramento, CA",102.42,103.94,102.6,105.65
2011,1,2,3,4,33728,30852,"Pensacola, FL","Washington, DC (Metropolitan Area)",211.92,215.07,212.11,217.13
1999,1,2,3,4,30868,31703,"Columbia, SC","New York City, NY (Metropolitan Area)",204.56,190.29,177.69,181.69
2004,1,2,3,4,30529,30466,"Hartford, CT","Phoenix, AZ",176.17,166.5,154.06,170.67
1998,1,2,3,4,30852,34027,"Washington, DC (Metropolitan Area)","West Palm Beach/Palm Beach, FL",154.2,137.51,129.1,142.84
2005,1,2,3,4,32211,33851,"Las Vegas, NV","Oklahoma City, OK",143.01,138.78,135.32,140.48
2011,1,2,3,4,30977,34524,"Chicago, IL","Richmond, VA",273.75,264.9,254.51,266.65
2006,1,2,3,4,30140,31703,"Albuquerque, NM","New York City, NY (Metropolitan Area)",209.38,229.07,236.31,236.49
2010,1,2,3,4,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",177.78,162.26,148.43,166.17
2010,1,2,3,4,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",219.36,217.11,219.75,211.23
2008,1,2,3,4,33570,33195,"San Diego, CA","Tampa, FL (Metropolitan Area)",204.62,210.58,220.37,227.57
1999,1,2,3,4,33198,33851,"Kansas City, MO","Oklahoma City, OK",88.23,86.4,86.98,84.36
1998,1,2,3,4,30529,32575,"Hartford, CT","Los Angeles, CA (Metropolitan Area)",356.78,334.19,326.7,317.0
2002,1,2,3,4,34653,30852,"Tulsa, OK","Washington, DC (Metropolitan Area)",196.83,203.17,184.71,182.23
1996,1,2,3,4,32337,31454,"Indianapolis, IN","Orlando, FL",113.34,101.64,90.25,88.05
2004,1,2,3,4,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",92.01,92.54,92.77,93.54
2003,1,2,3,4,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",121.95,121.7,119.9,122.1
2013,1,2,3,4,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",213.22,235.57,234.94,231.64
2009,1,2,3,4,32211,33667,"Las Vegas, NV","Norfolk, VA (Metropolitan Area)",187.21,186.49,200.26,213.04
2004,1,2,3,4,30423,31650,"Austin, TX","Minneapolis/St. Paul, MN",312.38,252.03,268.32,273.54
2005,1,2,3,4,30397,33667,"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",137.78,145.11,142.43,143.51
2006,1,2,3,4,33198,33195,"Kansas City, MO","Tampa, FL (Metropolitan Area)",146.63,146.31,136.35,135.75
2005,1,2,3,4,32467,31703,"Miami, FL (Metropolitan Area)","New York City, NY (Metropolitan Area)",135.23,130.18,120.78,127.34
1999,1,2,3,4,31057,32467,"Charlotte, NC","Miami, FL (Metropolitan Area)",202.49,194.77,182.75,189.04
1997,1,2,3,4,33105,30466,"Cincinnati, OH","Phoenix, AZ",276.1,232.8,189.26,247.03
2008,1,2,3,4,30325,32575,"Denver, CO","Los Angeles, CA (Metropolitan Area)",176.42,166.88,169.67,155.71
2010,1,2,3,4,32337,33195,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",137.16,134.7,121.55,124.44
2011,1,2,3,4,31650,33214,"Minneapolis/St. Paul, MN","San Antonio, TX",231.52,242.21,222.76,255.83
2009,1,2,3,4,33495,31454,"New Orleans, LA","Orlando, FL",140.26,130.65,124.89,137.52
1999,1,2,3,4,32337,31650,"Indianapolis, IN","Minneapolis/St. Paul, MN",306.57,316.03,288.33,285.17
1997,1,2,3,4,30721,31453,"Boston, MA (Metropolitan Area)","Houston, TX",308.07,313.72,298.44,291.6
2011,1,2,3,4,31136,32575,"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",255.88,287.06,280.0,288.27
2004,1,2,3,4,30693,33214,"Nashville, TN","San Antonio, TX",151.56,147.77,149.74,147.59
2008,1,2,3,4,30194,33667,"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)",250.24,266.43,261.27,254.58
2010,1,2,3,4,30693,33495,"Nashville, TN","New Orleans, LA",143.09,148.48,144.84,148.23
1996,1,2,3,4,34492,30852,"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",121.01,136.0,160.07,168.79
2013,1,2,3,4,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",286.33,256.57,269.81,273.1
2010,1,2,3,4,30198,33570,"Pittsburgh, PA","San Diego, CA",187.7,201.01,219.42,223.08
2011,1,2,3,4,31295,31123,"Detroit, MI","St. Louis, MO",152.11,167.27,158.88,146.32
1999,1,2,3,4,30599,30977,"Birmingham, AL","Chicago, IL",140.99,134.68,131.64,125.51
2010,1,2,3,4,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",131.48,117.72,114.05,123.99
1997,1,2,3,4,30194,31423,"Dallas/Fort Worth, TX","Des Moines, IA",143.27,152.58,144.04,184.28
2001,1,2,3,4,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",234.36,222.35,186.65,183.42
2002,1,2,3,4,31267,32575,"Dayton, OH","Los Angeles, CA (Metropolitan Area)",254.7,257.11,212.11,187.99
2001,1,2,3,4,33214,31123,"San Antonio, TX","St. Louis, MO",196.78,186.24,180.16,163.02
2001,1,2,3,4,30140,33570,"Albuquerque, NM","San Diego, CA",138.38,131.98,126.46,116.31
2008,1,2,3,4,30140,31454,"Albuquerque, NM","Orlando, FL",187.88,184.05,190.71,195.49
2001,1,2,3,4,30721,34614,"Boston, MA (Metropolitan Area)","Salt Lake City, UT",301.04,268.37,239.29,250.09
2009,1,2,3,4,31295,30852,"Detroit, MI","Washington, DC (Metropolitan Area)",129.66,128.02,133.88,146.59
2014,1,2,3,4,32575,33851,"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",280.48,278.86,284.42,269.58
2012,1,2,3,4,33495,31454,"New Orleans, LA","Orlando, FL",186.42,181.24,172.69,178.28
2008,1,2,3,4,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",237.18,252.98,269.59,262.99
2011,1,2,3,4,31066,33570,"Columbus, OH","San Diego, CA",219.92,223.79,223.41,240.57
2001,1,2,3,4,30194,30466,"Dallas/Fort Worth, TX","Phoenix, AZ",267.26,248.79,231.94,221.98
1998,1,2,3,4,32337,33195,"Indianapolis, IN","Tampa, FL (Metropolitan Area)",112.59,113.87,110.04,114.72
2003,1,2,3,4,31454,33570,"Orlando, FL","San Diego, CA",189.43,169.64,165.22,185.29
2005,1,2,3,4,30397,31703,"Atlanta, GA (Metropolitan Area)","New York City, NY (Metropolitan Area)",149.63,162.82,159.28,160.72
2009,1,2,3,4,30325,30436,"Denver, CO","Tucson, AZ",148.7,121.32,107.58,109.43
1999,1,2,3,4,31066,30194,"Columbus, OH","Dallas/Fort Worth, TX",311.81,307.37,291.29,277.71
2010,1,2,3,4,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",271.8,273.5,258.3,264.17
2011,1,2,3,4,33244,32467,"Memphis, TN","Miami, FL (Metropolitan Area)",242.34,221.31,215.71,230.86
2003,1,2,3,4,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",339.47,296.96,305.86,288.97
2007,1,2,3,4,30792,31454,"Buffalo, NY","Orlando, FL",123.79,119.71,112.21,123.32
2006,1,2,3,4,31136,32467,"Jacksonville, FL","Miami, FL (Metropolitan Area)",97.77,99.85,97.55,94.32
2000,1,2,3,4,33495,33570,"New Orleans, LA","San Diego, CA",186.2,188.94,174.27,169.84
1996,1,2,3,4,31066,33570,"Columbus, OH","San Diego, CA",166.72,161.51,153.94,140.0
2011,1,2,3,4,31267,30852,"Dayton, OH","Washington, DC (Metropolitan Area)",200.3,234.64,191.62,162.88
2001,1,2,3,4,30647,31453,"Cleveland, OH (Metropolitan Area)","Houston, TX",249.61,223.59,219.44,199.13
1996,1,2,3,4,30423,30693,"Austin, TX","Nashville, TN",115.66,106.36,101.56,91.3
1996,1,2,3,4,30721,33495,"Boston, MA (Metropolitan Area)","New Orleans, LA",183.47,181.26,189.26,189.05
2010,1,2,3,4,30693,30466,"Nashville, TN","Phoenix, AZ",216.95,220.55,214.37,204.18
1998,1,2,3,4,31995,35356,"Greensboro/High Point, NC","Trenton, NJ",106.3,136.4,140.96,174.9
2010,1,2,3,4,33198,32467,"Kansas City, MO","Miami, FL (Metropolitan Area)",167.84,168.99,165.38,177.6
1997,1,2,3,4,30721,33342,"Boston, MA (Metropolitan Area)","Milwaukee, WI",246.05,212.67,206.59,226.56
2001,1,2,3,4,32467,32457,"Miami, FL (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",319.77,275.28,242.52,249.1
2000,1,2,3,4,34492,31123,"Raleigh/Durham, NC","St. Louis, MO",203.92,190.55,187.23,189.1
2009,1,2,3,4,31454,34524,"Orlando, FL","Richmond, VA",116.51,113.7,103.37,117.23
2013,1,2,3,4,30977,30559,"Chicago, IL","Seattle, WA",243.23,258.37,269.48,248.48
2002,1,2,3,4,30977,31453,"Chicago, IL","Houston, TX",178.2,180.28,176.88,175.65
2008,1,2,3,4,30977,31136,"Chicago, IL","Jacksonville, FL",185.16,181.51,180.74,167.08
2013,1,2,3,4,32575,30466,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",133.92,134.85,154.74,139.91
1999,1,2,3,4,31295,31714,"Detroit, MI","Fort Myers, FL",138.58,141.96,115.05,140.93
1998,1,2,3,4,31453,30852,"Houston, TX","Washington, DC (Metropolitan Area)",190.52,220.62,226.2,216.39
2004,1,2,3,4,30792,30852,"Buffalo, NY","Washington, DC (Metropolitan Area)",85.29,86.53,82.55,81.13
2004,1,2,3,4,31057,30852,"Charlotte, NC","Washington, DC (Metropolitan Area)",317.32,283.65,276.92,191.75
1996,1,2,3,4,32575,30559,"Los Angeles, CA (Metropolitan Area)","Seattle, WA",105.93,109.19,103.18,104.06
2003,1,2,3,4,30529,31454,"Hartford, CT","Orlando, FL",141.11,136.9,115.66,128.59
2002,1,2,3,4,30466,33214,"Phoenix, AZ","San Antonio, TX",140.35,144.03,134.87,139.42
2008,1,2,3,4,33105,30194,"Cincinnati, OH","Dallas/Fort Worth, TX",317.99,351.02,336.55,292.64
2008,1,2,3,4,30693,34492,"Nashville, TN","Raleigh/Durham, NC",127.46,133.55,143.0,140.08
2013,1,2,3,4,31295,30693,"Detroit, MI","Nashville, TN",183.75,183.33,191.68,189.99
2005,1,2,3,4,30397,32457,"Atlanta, GA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",211.55,226.2,237.28,230.08
2013,1,2,3,4,30615,32575,"El Paso, TX","Los Angeles, CA (Metropolitan Area)",199.58,188.8,212.03,209.13
1999,1,2,3,4,30721,33342,"Boston, MA (Metropolitan Area)","Milwaukee, WI",263.76,229.44,203.44,203.27
2003,1,2,3,4,30397,34027,"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",142.68,130.92,130.15,141.21
2009,1,2,3,4,31453,33192,"Houston, TX","Sacramento, CA",230.79,224.13,226.57,238.61
2008,1,2,3,4,34100,33570,"Philadelphia, PA","San Diego, CA",249.26,275.19,294.74,295.65
2007,1,2,3,4,33244,30852,"Memphis, TN","Washington, DC (Metropolitan Area)",240.44,230.41,231.73,239.08
2007,1,2,3,4,31454,30198,"Orlando, FL","Pittsburgh, PA",122.86,124.42,115.49,128.25
1998,1,2,3,4,31714,30852,"Fort Myers, FL","Washington, DC (Metropolitan Area)",153.01,149.22,136.39,146.15
2010,1,2,3,4,30977,33316,"Chicago, IL","Omaha, NE",122.66,130.67,128.84,128.46
2008,1,2,3,4,32457,31884,"San Francisco, CA (Metropolitan Area)","Spokane, WA",141.2,136.67,151.8,157.29
2012,1,2,3,4,33198,33192,"Kansas City, MO","Sacramento, CA",194.44,218.71,204.7,206.94
2002,1,2,3,4,35249,30852,"Tallahassee, FL","Washington, DC (Metropolitan Area)",142.0,141.51,146.28,146.74
1996,1,2,3,4,34100,34614,"Philadelphia, PA","Salt Lake City, UT",241.22,236.66,217.52,244.92
2000,1,2,3,4,30397,30562,"Atlanta, GA (Metropolitan Area)","Mobile, AL",191.51,195.08,175.22,171.42
1998,1,2,3,4,34057,34570,"Portland, OR","Reno, NV",72.27,71.79,67.3,70.98
2002,1,2,3,4,31136,32575,"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",188.04,228.09,199.35,193.33
2010,1,2,3,4,31423,30466,"Des Moines, IA","Phoenix, AZ",189.43,184.14,184.37,190.22
2000,1,2,3,4,30721,30194,"Boston, MA (Metropolitan Area)","Dallas/Fort Worth, TX",365.69,332.01,338.5,356.27
2004,1,2,3,4,30785,31703,"Burlington, VT","New York City, NY (Metropolitan Area)",107.66,95.38,93.63,99.16
2008,1,2,3,4,30647,30852,"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",116.46,139.13,148.12,141.87
2012,1,2,3,4,31454,35096,"Orlando, FL","Syracuse, NY",195.7,178.21,167.08,170.8
2011,1,2,3,4,30977,31123,"Chicago, IL","St. Louis, MO",138.03,155.13,149.35,157.95
1999,1,2,3,4,32575,31703,"Los Angeles, CA (Metropolitan Area)","New York City, NY (Metropolitan Area)",341.31,334.62,318.75,343.13
1997,1,2,3,4,30325,31453,"Denver, CO","Houston, TX",182.01,225.51,164.62,177.07
2013,1,2,3,4,30325,31986,"Denver, CO","Grand Rapids, MI",208.62,206.69,208.48,212.61
2001,1,2,3,4,32206,31453,"Harlingen/San Benito, TX","Houston, TX",81.27,81.35,81.69,84.47
2002,1,2,3,4,33198,34614,"Kansas City, MO","Salt Lake City, UT",166.64,138.2,147.84,151.62
2013,1,2,3,4,30977,33495,"Chicago, IL","New Orleans, LA",264.97,241.63,229.32,221.99
2007,1,2,3,4,30397,31136,"Atlanta, GA (Metropolitan Area)","Jacksonville, FL",160.94,167.25,166.33,158.47
2010,1,2,3,4,32575,31650,"Los Angeles, CA (Metropolitan Area)","Minneapolis/St. Paul, MN",253.3,248.07,253.12,236.4
2011,1,2,3,4,30977,30559,"Chicago, IL","Seattle, WA",244.78,262.19,260.53,220.99
2000,1,2,3,4,30140,30194,"Albuquerque, NM","Dallas/Fort Worth, TX",112.88,114.1,116.96,117.79
1999,1,2,3,4,34614,30559,"Salt Lake City, UT","Seattle, WA",101.12,101.35,103.87,98.71
2007,1,2,3,4,33105,31714,"Cincinnati, OH","Fort Myers, FL",179.55,176.05,156.3,178.39
2000,1,2,3,4,32467,30198,"Miami, FL (Metropolitan Area)","Pittsburgh, PA",182.28,173.15,161.38,162.6
2012,1,2,3,4,33495,30466,"New Orleans, LA","Phoenix, AZ",237.16,229.2,189.56,223.08
1997,1,2,3,4,30693,31454,"Nashville, TN","Orlando, FL",91.42,90.47,89.18,96.48
2002,1,2,3,4,31295,31123,"Detroit, MI","St. Louis, MO",96.76,96.3,100.69,101.57
1996,1,2,3,4,32337,33495,"Indianapolis, IN","New Orleans, LA",120.4,116.13,111.92,110.1
2002,1,2,3,4,30423,30194,"Austin, TX","Dallas/Fort Worth, TX",91.97,93.48,95.1,95.16
1996,1,2,3,4,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",110.19,104.48,111.1,110.08
2001,1,2,3,4,31453,32448,"Houston, TX","Jackson/Vicksburg, MS",83.67,88.93,87.31,92.23
2002,1,2,3,4,32211,30436,"Las Vegas, NV","Tucson, AZ",74.68,73.68,74.25,77.9
1997,1,2,3,4,30194,33244,"Dallas/Fort Worth, TX","Memphis, TN",207.78,200.19,205.47,203.43
2001,1,2,3,4,30529,34027,"Hartford, CT","West Palm Beach/Palm Beach, FL",125.06,114.74,97.82,115.05
2010,1,2,3,4,30615,31453,"El Paso, TX","Houston, TX",189.95,195.47,205.31,201.71
1999,1,2,3,4,30721,33105,"Boston, MA (Metropolitan Area)","Cincinnati, OH",332.62,299.11,279.46,258.53
2013,1,2,3,4,30325,30466,"Denver, CO","Phoenix, AZ",122.36,132.39,134.06,125.55
2009,1,2,3,4,30325,31453,"Denver, CO","Houston, TX",156.43,147.9,145.56,149.75
2007,1,2,3,4,30529,33570,"Hartford, CT","San Diego, CA",231.42,246.91,237.58,241.71
2012,1,2,3,4,30423,33495,"Austin, TX","New Orleans, LA",216.66,238.8,219.95,237.13
1999,1,2,3,4,30194,32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",284.73,284.3,271.03,268.77
1998,1,2,3,4,31066,31703,"Columbus, OH","New York City, NY (Metropolitan Area)",234.46,218.42,210.14,198.73
2010,1,2,3,4,30559,30436,"Seattle, WA","Tucson, AZ",187.59,195.14,202.3,201.13
1997,1,2,3,4,30140,32211,"Albuquerque, NM","Las Vegas, NV",84.19,87.83,82.95,85.4
1996,1,2,3,4,32575,33495,"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",203.17,202.04,170.86,174.56
2009,1,2,3,4,30423,31454,"Austin, TX","Orlando, FL",157.78,139.01,140.82,162.97
1998,1,2,3,4,30397,31057,"Atlanta, GA (Metropolitan Area)","Charlotte, NC",172.86,190.55,186.88,190.46
2012,1,2,3,4,31057,32457,"Charlotte, NC","San Francisco, CA (Metropolitan Area)",342.26,348.08,339.53,356.76
1996,1,2,3,4,30423,31454,"Austin, TX","Orlando, FL",197.09,159.47,141.55,118.53
2012,1,2,3,4,31140,31453,"Corpus Christi, TX","Houston, TX",152.61,155.54,148.09,166.69
2001,1,2,3,4,30792,32575,"Buffalo, NY","Los Angeles, CA (Metropolitan Area)",216.29,171.92,147.96,152.83
2011,1,2,3,4,34262,32457,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",161.64,168.79,155.11,282.22
2003,1,2,3,4,30325,33198,"Denver, CO","Kansas City, MO",145.17,145.63,157.64,151.06
2003,1,2,3,4,31714,34100,"Fort Myers, FL","Philadelphia, PA",153.23,138.13,127.56,143.25
2006,1,2,3,4,30599,30977,"Birmingham, AL","Chicago, IL",155.24,162.63,152.57,146.7
2013,1,2,3,4,30529,32467,"Hartford, CT","Miami, FL (Metropolitan Area)",180.29,158.63,150.53,163.12
1996,1,2,3,4,35412,31703,"Knoxville, TN","New York City, NY (Metropolitan Area)",216.47,218.55,212.78,188.64
2004,1,2,3,4,31453,32211,"Houston, TX","Las Vegas, NV",164.62,158.88,160.13,160.19
2013,1,2,3,4,34100,34614,"Philadelphia, PA","Salt Lake City, UT",319.7,348.98,352.07,343.02
2006,1,2,3,4,30977,31703,"Chicago, IL","New York City, NY (Metropolitan Area)",169.83,164.6,160.11,150.17
2002,1,2,3,4,30529,34492,"Hartford, CT","Raleigh/Durham, NC",142.67,157.47,154.54,157.42
2000,1,2,3,4,33105,30325,"Cincinnati, OH","Denver, CO",258.48,241.89,225.64,228.96
2012,1,2,3,4,33198,34614,"Kansas City, MO","Salt Lake City, UT",237.03,241.31,234.1,214.26
2003,1,2,3,4,33495,33195,"New Orleans, LA","Tampa, FL (Metropolitan Area)",106.72,104.49,101.38,106.61
2011,1,2,3,4,30977,33667,"Chicago, IL","Norfolk, VA (Metropolitan Area)",195.28,211.54,209.89,203.69
2003,1,2,3,4,30194,32206,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",123.68,125.64,126.58,126.29
2007,1,2,3,4,31714,30852,"Fort Myers, FL","Washington, DC (Metropolitan Area)",147.82,135.49,116.94,143.87
2005,1,2,3,4,31267,30852,"Dayton, OH","Washington, DC (Metropolitan Area)",139.21,134.72,133.42,125.8
2014,1,2,3,4,30423,30559,"Austin, TX","Seattle, WA",222.73,237.23,237.53,247.69
1996,1,2,3,4,30198,33195,"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",149.18,123.8,124.47,140.95
2003,1,2,3,4,30466,31123,"Phoenix, AZ","St. Louis, MO",149.17,140.26,139.03,141.99
2012,1,2,3,4,30194,33495,"Dallas/Fort Worth, TX","New Orleans, LA",177.65,170.84,161.87,166.01
2000,1,2,3,4,34262,32457,"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",120.96,120.65,117.36,124.25
2006,1,2,3,4,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",205.36,223.02,235.88,229.87
2002,1,2,3,4,31650,30198,"Minneapolis/St. Paul, MN","Pittsburgh, PA",223.99,200.12,209.06,212.52
2009,1,2,3,4,30977,34986,"Chicago, IL","Sarasota/Bradenton, FL",139.6,130.19,110.38,144.97
