Year,Q1,Q2,Q3,Q4,citymarketid_1,citymarketid_2,city1,city2,fare1,fare2,fare3,fare4
2004,1,2,3,4,30257,32211,"Albany, NY","Las Vegas, NV",166.67,161.17,164.77,164.9
2003,1,2,3,4,30194,33851,"Dallas/Fort Worth, TX","Oklahoma City, OK",92.17,88.41,88.51,88.34
1998,1,2,3,4,30721,30559,"Boston, MA (Metropolitan Area)","Seattle, WA",378.31,311.57,274.88,280.85
2009,1,2,3,4,33851,32457,"Oklahoma City, OK","San Francisco, CA (Metropolitan Area)",167.44,185.97,201.19,213.94
2009,1,2,3,4,33244,30852,"Memphis, TN","Washington, DC (Metropolitan Area)",259.83,224.86,225.45,241.53
2010,1,2,3,4,30140,33214,"Albuquerque, NM","San Antonio, TX",168.06,170.3,170.95,172.24
1996,1,2,3,4,32211,34100,"Las Vegas, NV","Philadelphia, PA",167.91,163.88,153.7,172.55
1997,1,2,3,4,30713,32575,"Boise, ID","Los Angeles, CA (Metropolitan Area)",106.29,114.32,113.41,116.21
2009,1,2,3,4,34100,33195,"Philadelphia, PA","Tampa, FL (Metropolitan Area)",138.68,129.91,118.73,137.23
2011,1,2,3,4,31057,33198,"Charlotte, NC","Kansas City, MO",208.68,207.56,204.35,201.77
2005,1,2,3,4,31703,33728,"New York City, NY (Metropolitan Area)","Pensacola, FL",156.89,170.1,172.26,181.43
2009,1,2,3,4,30721,30693,"Boston, MA (Metropolitan Area)","Nashville, TN",160.96,163.04,166.8,175.72
1997,1,2,3,4,33495,32457,"New Orleans, LA","San Francisco, CA (Metropolitan Area)",225.73,234.09,208.66,223.23
1997,1,2,3,4,30325,32467,"Denver, CO","Miami, FL (Metropolitan Area)",199.04,235.09,238.0,235.74
2008,1,2,3,4,33667,33195,"Norfolk, VA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",135.28,130.15,132.65,138.81
1997,1,2,3,4,30977,30559,"Chicago, IL","Seattle, WA",278.21,264.59,257.8,290.67
2002,1,2,3,4,32467,33195,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",80.24,79.96,82.14,81.82
2010,1,2,3,4,31703,30852,"New York City, NY (Metropolitan Area)","Washington, DC (Metropolitan Area)",171.73,180.86,178.84,179.25
2005,1,2,3,4,31295,34492,"Detroit, MI","Raleigh/Durham, NC",153.45,156.39,155.26,160.62
1998,1,2,3,4,34614,33570,"Salt Lake City, UT","San Diego, CA",91.86,92.2,92.66,103.29
1997,1,2,3,4,31136,33495,"Jacksonville, FL","New Orleans, LA",94.49,89.19,83.44,89.07
1997,1,2,3,4,32575,30693,"Los Angeles, CA (Metropolitan Area)","Nashville, TN",195.84,189.58,189.19,196.39
2010,1,2,3,4,31650,33195,"Minneapolis/St. Paul, MN","Tampa, FL (Metropolitan Area)",173.08,187.22,184.36,190.89
2010,1,2,3,4,31057,30466,"Charlotte, NC","Phoenix, AZ",247.41,238.58,239.06,234.07
2007,1,2,3,4,30977,33667,"Chicago, IL","Norfolk, VA (Metropolitan Area)",140.34,161.46,160.82,159.88
2007,1,2,3,4,30529,30852,"Hartford, CT","Washington, DC (Metropolitan Area)",127.9,124.34,123.64,135.85
2013,1,2,3,4,32575,33195,"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",275.82,276.93,297.28,305.54
2007,1,2,3,4,30194,31714,"Dallas/Fort Worth, TX","Fort Myers, FL",210.46,205.86,189.05,214.2
2012,1,2,3,4,31454,34524,"Orlando, FL","Richmond, VA",153.85,147.32,127.22,141.01
2001,1,2,3,4,33198,31454,"Kansas City, MO","Orlando, FL",139.23,136.1,113.43,118.11
2010,1,2,3,4,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",228.59,254.79,253.46,239.59
2009,1,2,3,4,30140,30852,"Albuquerque, NM","Washington, DC (Metropolitan Area)",231.95,234.23,240.52,259.28
2008,1,2,3,4,30194,31295,"Dallas/Fort Worth, TX","Detroit, MI",195.89,202.88,212.77,209.5
2012,1,2,3,4,30647,31650,"Cleveland, OH (Metropolitan Area)","Minneapolis/St. Paul, MN",309.23,290.29,256.27,254.29
1997,1,2,3,4,31453,32457,"Houston, TX","San Francisco, CA (Metropolitan Area)",216.83,265.59,257.93,263.22
2001,1,2,3,4,30140,31454,"Albuquerque, NM","Orlando, FL",169.87,159.65,123.56,109.64
1998,1,2,3,4,32575,33570,"Los Angeles, CA (Metropolitan Area)","San Diego, CA",69.36,80.4,85.27,86.91
